"","card","description","type","status","category","sub_category"
"72","MONITOR - MXX DB STATUS","**AS A**
Operational Engineer

**I WANT**
setup SQL Server related monitoring for the following:

- SQL Server service
- Auto-growth of database
- Size of database reaching close to threshold 

**SO THAT**
 https://trello.com/c/aJyxNvUe/143-infra-action-recommendations-noted-from-blue-prism-technical-architecture-review","PROJECT","Blocked","MONITOR","MXX DB STATUS"
"73","AUTOMATE - IN01 VM SETUP","AS A
Operational Engineer

I WANT
To have a solution for automatically setting up a new VM

SO THAT
The process is streamlined and automated","PROJECT","Blocked","AUTOMATE","IN01 VM SETUP"
"74","MONITOR - HARDWARE METRICS","**AS A**
Operational Engineer

**I WANT**
setup monitoring for standard hardware metrics such as:

- CPU utilisation
- Memory utilisation
- Disk IO and Free Space
- Network IO


**SO THAT**
This data can be used for root-cause analysis and future anomaly detection mechanisms","PROJECT","Blocked","MONITOR","HARDWARE METRICS"
"75","INFRA - TEST DR PLAN","**AS A**
Operational Engineer

**I WANT**
create detailed Disaster Recovery plan and test fail over / fail back

**SO THAT**
https://trello.com/c/aJyxNvUe/143-infra-action-recommendations-noted-from-blue-prism-technical-architecture-review","PROJECT","Blocked","INFRA","TEST DR PLAN"
"76","AUTOMATE - Re-enable P37 Complex Bookings","**AS A**
Operational Engineer

**I WANT**
to re-enable to P37 Complex Bookings process

**SO THAT**
The process is processing cases again","PROJECT","Blocked","AUTOMATE","Re-enable P37 Complex Bookings"
"77","AUTOMATE - create sub process for updating VM IE Settings","**AS A**
Operational Engineer

**I WANT**
create sub process for updating VM IE Settings

**SO THAT**
the VM Maintenance process can use this sub process","PROJECT","In Progress","AUTOMATE","create sub process for updating VM IE Settings"
"78","INFRA - SETUP 10 PROD VMS","**AS A**
Operational Engineer

**I WANT**
setup another 10 Prod VMs

**SO THAT**
we are able to prepare for Peak period

Exam period (Semester 2)	18 November 2019 to 30 November 2019
Semester 2 results published	18 December 2019
Christmas Day public holiday	25 December 2019
Boxing Day public holiday	26 December 2019","PROJECT","In Progress","INFRA","SETUP 10 PROD VMS"
"79","REPORT - Research and Compliance Dashboard","","PROJECT","In Progress","REPORT","Research and Compliance Dashboard"
"80","TRAIN - DEV UIPATH DEVELOPER TRAINING","","PROJECT","In Progress","TRAIN","DEV UIPATH DEVELOPER TRAINING"
"81","TRAIN - RUN UIPATH DEVELOPER TRAINING","","PROJECT","In Progress","TRAIN","RUN UIPATH DEVELOPER TRAINING"
"82","PROCESS - P38 REASSESSMENT AND REDESIGN","1. Conduct initial reassessment of existing process (design doc, benefits, prepare for initial stakeholder meeting) 
2. Hold initial stakeholder meeting to determine path forward
3. TBD","PROJECT","In Progress","PROCESS","P38 REASSESSMENT AND REDESIGN"
"83","REPORT - POWERBI Dashboard update","**AS A**
Operational Engineer

**I WANT**

**SO THAT**
","BAU","In Progress","REPORT","POWERBI Dashboard update"
"84","OPMODEL - MANAGE CHATBOTS","**AS A**
Operational Engineer

**I WANT**
manage the AI Hub chatbots

**SO THAT**
they can be supported appropriately in Production","BAU","In Progress","OPMODEL","MANAGE CHATBOTS"
"85","INFRA - MANAGE ICT CABS","**AS A**
Operational Engineer

**I WANT**
to review the weekly CABs that have been raised in Service Now

**SO THAT**
Any ICT related changes are made known early and can be investigated for impacts / actions","BAU","In Progress","INFRA","MANAGE ICT CABS"
"86","OPMODEL - LEAD OPERATIONAL ENGINEERS","**AS A**
Operational Engineer Team Lead

**I WANT**
Perform Operational Engineer Team Lead duties such as:

- reviewing Trello Tickets
- swaming when needed
- performing weekly reviews

**SO THAT**
Trello ticket metrics and reporting are accurate + Operational Engineers are performing optimally","BAU","In Progress","OPMODEL","LEAD OPERATIONAL ENGINEERS"
"87","OPMODEL - MANAGE AI HUB INBOX","**AS A**
Operational Engineer

**I WANT**
Manage AI Hub Inbox

**SO THAT**
requests get handed accordingly","BAU","In Progress","OPMODEL","MANAGE AI HUB INBOX"
"88","OPMODEL - MIGRATION MANAGEMENT","**AS A**
Operational Engineer

**I WANT**
to manage the migration of new processes (e.g. Releasing Processes, Managing process schedules, obtaining access)

**SO THAT**
Processes can be pushed into Production without error and with appropriate access","BAU","In Progress","OPMODEL","MIGRATION MANAGEMENT"
"89","OPMODEL - SERVICE VALIDATION MGMT","**AS A**
Operational Engineer

**I WANT**
to conduct the key responsibilities of Service Validation Management:

- QA processes from a Run perspective
- Regularly check on processes in stabilisation

**SO THAT**
Processes that are being developed are up to the appropriate standards and also processes in Prod are stabilising","BAU","In Progress","OPMODEL","SERVICE VALIDATION MGMT"
"90","OPMODEL - RAISING ACCESS REQUEST","","BAU","In Progress","OPMODEL","RAISING ACCESS REQUEST"
"91","INFRA - MANGE PROD RESOURCE SETUP","**AS A**
Operational Engineer

**I WANT**
To manage and document the setup of all Resources within Production

**SO THAT**
The process of setting up Resources is well understood for future scenarios","BAU","In Progress","INFRA","MANGE PROD RESOURCE SETUP"
"92","P21 - Removing Sanctions (loader) - process failing when attempting to access the queue","**ISSUE**
process failing when attempting to access the queue

**IMPACT**
minimal impact observed as process seems to have loaded all cases to the queue

**ROOT-CAUSE**
TBC

**WORK-AROUND**
Rerun process

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","In Progress","P21","Removing Sanctions (loader) - process failing when attempting to access the queue"
"93","P72 - loader process terminating when attempting to access Involvio","**ISSUE**
loader process terminating when attempting to access Involvio

**IMPACT**
minimal as process usually runs next run

**ROOT-CAUSE**
TBC

**WORK-AROUND**
rerun process

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","In Progress","P72","loader process terminating when attempting to access Involvio"
"94","OUTLOOK - processes terminating after attempting to launch Outlook and show a pop-up","**ISSUE**
processes terminating after attempting to launch Outlook and show a pop-up

**IMPACT**
process gets stuck in warning state attempting to launch Outlook

**ROOT-CAUSE**
TBC

**WORK-AROUND**
1. close pop-up
2. assess if process needs to be rerun

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","In Progress","OUTLOOK","processes terminating after attempting to launch Outlook and show a pop-up"
"95","OUTLOOK - Outlook VBO operation can fail randomly after Outlook has already opened","**ISSUE**
Outlook VBO will fail to perform get received items/move email actions randomly after Outlook has already been opened. This happens when either attempting to move mail OR send mail. Error message might contain ERROR: Internal : Could not execute code stage because exception thrown by code stage: Cannot create ActiveX component.

**IMPACT**
might cause process termination

**ROOT-CAUSE**
TBC

**WORK-AROUND**
1. review termination
2. make decision if if process rerun is required

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","In Progress","OUTLOOK","Outlook VBO operation can fail randomly after Outlook has already opened"
"96","SITS - random SITS pop-up stops process from working with error ""Uniface has stopped working""","ISSUE
random SITS pop-up stops process from working

IMPACT
process gets stuck in warning state

ROOT-CAUSE
TBC

WORKAROUND
1. click ""close program""
2. check if cases need to be force retried
3. check if processor process needs to be re-run

RESOLUTION
TBC","PROBLEM","In Progress","SITS","random SITS pop-up stops process from working with error ""Uniface has stopped working"""
"97","SITS (WEB) - processes failing when attempting to access Sydney Student Web often with error message ""Failed to perform step 1 in Navigate Stage 'Manage Students Button' on page 'N - Sydney Student Header'""","**ISSUE**
P41 Graduate in Absentia (Loader) keeps failing with error message ""Failed to perform step 1 in Navigate Stage 'Manage Students Button' on page 'N - Sydney Student Header'"". P55 Processing Suspencion Request has also been failing with a similar error message when attempting to access Sydney Student Web.

**IMPACT**
Process is able to run until worked manually

**ROOT-CAUSE**
TBC - This issue only seems to happen at night time when the Bot is scheduled to run (from 12am to 6am)

**WORK-AROUND**
setup processes to not run between 11:55pm and 1am that use Sydney Student Web

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","In Progress","SITS","SITS (WEB)processes failing when attempting to access Sydney Student Web often with error message ""Failed to perform step 1 in Navigate Stage 'Manage Students Button' on page 'N - Sydney Student Header'"""
"98","APPS - applications that are managed by External Vendors require sometimes have GUI changes that are not communicated","**ISSUE**
Applications that are managed by External Vendors require sometimes have GUI changes that are not communicated. Some of the known applications (and processes) that are currently managed in Production include:

- Involvio (P72 etc)
- OneStop (P10 etc)

**IMPACT**
processes terminate

**ROOT-CAUSE**
Application elements changing because of unplanned GUI changes

**WORK-AROUND**
1. Identify elements that require re-spying
2. Re-spy elements in Application Modeller

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","In Progress","APPS","applications that are managed by External Vendors require sometimes have GUI changes that are not communicated"
"99","Involvio - javascript security pop up will prevent the process running","**ISSUE**
involvio will trigger IE pop up for javascript warning

**IMPACT**
process will terminate

**ROOT-CAUSE**

**WORK-AROUND**
go the vm and manually add all the blocked javascript to the trusted list

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","In Progress","Involvio","javascript security pop up will prevent the process running"
"100","VM18 - Outlook Failing to open saying ""attempt to log on to Microsoft Exchange has failed""","**ISSUE**
Outlook Failing to open with a pop-up saying ""attempt to log on to Microsoft Exchange has failed"". This has been occurring mainly

**IMPACT**
no processes that use Outlook are able to run on this VM

**ROOT-CAUSE**
TBC

**WORK-AROUND**
move all processes that run on this VM onto a different VM

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","In Progress","VM18","Outlook Failing to open saying ""attempt to log on to Microsoft Exchange has failed"""
"101","SITS Portal - UOS601 report is not accessible after the SITS v9.7 update","**ISSUE**
process cannot access the UOS601 report in SITS Portal

**IMPACT**
process cannot run

**ROOT-CAUSE**
SITS Portal update broke integration with OBIEE 

**WORK-AROUND**
unknown

**RESOLUTION**
RITM0140395

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","In Progress","SITS","SITS UOS601 report is not accessible after the SITS v9.7 update"
"102","PROCESS - P116 / P117 Bulk email download / move functionality fail","**ISSUE**
Bulk email attachment download step failed

**IMPACT**
Email attachments did not download and process terminated

**ROOT-CAUSE**
Bulk email attachment download functionality failed to execute

**WORK-AROUND**
Process picks emails in the next run

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","In Progress","PROCESS","P116 / P117 Bulk email download / move functionality fail"
"103","IN04 - VM Restart and Login - Restart - Failed to launch Powershell","**ISSUE**
Failed to launch PowerShell

**IMPACT**
Process terminated

**ROOT-CAUSE**
Failed to launch PowerShell

**WORK-AROUND**
Re run the process

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","In Progress","IN04","VM Restart and Login - Restart - Failed to launch Powershell"
"104","OUTLOOK - emails fail to be sent with error message ""Network problems are preventing connection to Microsoft Exchange""","**ISSUE**
emails fail to be sent with error message ""Network problems are preventing connection to Microsoft Exchange""

**IMPACT**
processes terminate and fail

**ROOT-CAUSE**
TBC

**WORK-AROUND**
rerun process

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","In Progress","OUTLOOK","emails fail to be sent with error message ""Network problems are preventing connection to Microsoft Exchange"""
"105","INFRA - UPGRADE RASBERRY PIES","**AS A**
Operational Engineer

**I WANT**
To investigate upgrading our Rasberry Pies to the latest version

**SO THAT**
Our Rasberry Pies are able to handle the CPU and RAM requirements (e.g. showing 25 VMs on screen using VNC Viewer)","PROJECT","Testing","INFRA","UPGRADE RASBERRY PIES"
"106","SITS Portal - Special Permission application list table will fail to load randomly after the SITS update","**ISSUE**
P15 schedules at 4am Monday, Wednesday and Friday. 

**IMPACT**
process run delayed

**ROOT-CAUSE**
Fail to load special consideration table

**WORK-AROUND**
rerun process

**RESOLUTION**
1. contact SITS Portal team
2. spy the error screen and restart SITS Portal if the process finds error screen

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","SITS","SITS Special Permission application list table will fail to load randomly after the SITS update"
"107","P89 - Input Grades for Internal Students process keeps terminating","**ISSUE**
(1) Both the P89 ""Parent Loader"" and ""Queue Processor"" keep terminating on page 3. when attempting to perform the ""Get Faculty"" stage. (2) Additionally, the ""Parent Loader"" process terminated when attempting to perform the ""MS Excel"" object action ""Get Worksheet Range As Collection"" and throw an error in the windows application logs (see ""error_message_output.txt"") that said ""Requested Clipboard operation did not succeed"".

**IMPACT**
(1,2) minimal as process can miss multiple runs

**ROOT-CAUSE**
(1) ""Get Faculty"" stage on page 3. of Queue Processor
(2) process fails when attempting to ""Get Worksheet Range As Collection"" because the Excel file is too large (see attached ""SAS1001 SM_All_C.xlsx"")

**WORK-AROUND**
(1) NA
(2) Rerun process

**RESOLUTION**
(1) https://trello.com/c/t3UE7cob/3058-p89-update-process-to-handle-for-when-faulty-text-element-is-not-found#
(2) https://trello.com/c/1lCYEqaR/3691-p89-update-process-so-that-its-able-to-handle-for-large-excel-input-files#

**LESSONS**
GOOD: screenshot function really helped with identifying the root-cause
IMPROVEMENT: add screenshot features to all processes early on
LUCKY: process does not cause big impacts when it terminates","PROBLEM","Testing","P89","Input Grades for Internal Students process keeps terminating"
"108","INFRA - all processes are sometimes effected by Planned and Ad-hoc patching on VMs","ISSUE
VMs are sometimes effected by Planned and Ad-hoc patching. This often results in the VMs being logged out OR the Application Server needing to be restarted.

IMPACT
Processes are unable to run on Production Environment

WORKAROUND
Check when patching is planned on VMs/ Database Servers that would effect the Production Environment and plan for it (i.e. get someone to be available to login manually)

ROOT-CAUSE
ICT Patching

RESOLUTION
1. setup Login Agent
2. set VMs to restart each saturday
3. https://trello.com/c/5JPSCYLN/26-opmodel-setup-on-call-support-model","PROBLEM","Testing","INFRA","all processes are sometimes effected by Planned and Ad-hoc patching on VMs"
"109","IE - some processes requires the website added to the compatibility view setting","**ISSUE**
process requires additional setup in IE

**IMPACT**
process will terminate if the IE is not setup

**ROOT-CAUSE**
website design

**WORK-AROUND**
manually add ""sydney.edu.au"" to the compatibility view setting in IE

**RESOLUTION**
add IE configuration in the VM setup process

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","IE","some processes requires the website added to the compatibility view setting"
"110","INFRA - Production Database keeps becoming unavailable","**ISSUE**
Production Database keeps becoming unavailable
- 10:22pm 29th July until 9:15am next day
- 11:00pm 30th July until 7:45am next day

**IMPACT**
processes unable to run between time periods

**ROOT-CAUSE**
The existing BluePrismPro Production database shares resources with various other USYD Prod databases (20+). There was a CPU Spike on the shared server cluster that these databases are located on which caused this problem. 
https://trello.com/c/oZfS6Nl1/1898-m07-defrag-script-caused-deadlock-in-the-database?menu=filter&filter=member:tylorbunting3

**WORK-AROUND**
1. Contact ICT Hosting Team and request assistance with unlocking database deadlocks
2. attempt to kill processes potentially causing the deadlock (http://sqlserverplanet.com/dba/sql-server-kill-process)

**RESOLUTION**
https://trello.com/c/0HrxFGAa/1830-infra-raise-request-with-ict-to-put-database-into-a-sql-server-that-does-not-share-resources-with-other-databases#
https://trello.com/c/J2PWbdr2/111-infra-azure-migration

**LESSONS**
GOOD: ICT were really quick to assist resolving the incident (30 mins)
IMPROVEMENT: Move database into non shared SQL Server Instance
LUCKY: Tylor got into work early and identified the issue before it could cause further impacts","PROBLEM","Testing","INFRA","Production Database keeps becoming unavailable"
"111","INFRA - VM62/58 Resource PC error","VM58: P65 4pm
VM62: P44 12pm

Resolution
Drop M01 triggers and tables temporarily","PROBLEM","Testing","INFRA","VM62/58 Resource PC error"
"112","OFFICE - Microsoft Office Excel sometimes causes processes to terminate from a pop-up with message "" We've made some updates to the privacy settings to give you more control""","**ISSUE**
Microsoft Office Excel sometimes causes processes to terminate from a pop-up with message "" We've made some updates to the privacy settings to give you more control""

**IMPACT**
processes terminate after opening excel

**ROOT-CAUSE**
TBC - assumed from OS patching

**WORK-AROUND**
1. close pop-up as it occurs
2. continue running process

**RESOLUTION**
https://trello.com/c/s6bTbxdS/1908-ins07-handle-for-excel-privacy-pop-up

**LESSONS**
GOOD: 
IMPROVEMENT: 
LUCKY:","PROBLEM","Testing","OFFICE","Microsoft Office Excel sometimes causes processes to terminate from a pop-up with message "" We've made some updates to the privacy settings to give you more control"""
"113","OUTLOOK - Outlook Safe Mode pop-up causing error","**ISSUE**
ERROR: Email Exception : Error sending an email: System.Runtime.InteropServices.COMException (0x8004011D): Cannot create the email message because a data file to send and receive messages cannot be found. Check your settings in this Microsoft Outlook profile. In Microsoft Windows, click the Start button, and then click Control Panel. Click User Accounts, and then click Mail.  Click Show Profiles, select this profile, and then click Properties.
   at Microsoft.VisualBasic.CompilerServices.LateBinding.LateGet(Object o, Type objType, String name, Object[] args, String[] paramnames, Boolean[] CopyBack)
   at Microsoft.VisualBasic.CompilerServices.NewLateBinding.LateGet(Object Instance, Type Type, String MemberName, Object[] Arguments, String[] ArgumentNames, Type[] TypeArguments, Boolean[] CopyBack)
   at MS_Outlook_Email_VBO_Extended.Send_Item(String To, String CC, String BCC, String Subject, String Message, String Attachments, Boolean Message_Is_HTML, String Profile, Boolean& Success, String& Error_Message)

**IMPACT**
any processes use blueprismbot outlook profile will terminate

**ROOT-CAUSE**
outlook safe mode pop up

**WORK-AROUND**
manually disable outlook safe mode pop up
1. check 'no' in the pop up 

**RESOLUTION**
https://trello.com/c/gpDFE5fW/2668-infra-investigate-how-to-permanently-disable-safe-mode-pop-ups-for-outlook# OR https://trello.com/c/HdPgryke/122-in02-vm-maintenance-develop-solution-for-automatically-performing-maintenance-checks-on-production-vm-runtime-resources

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","OUTLOOK","Outlook Safe Mode pop-up causing error"
"114","INFRA - Sharing a SQL server with other databases","**ISSUE**
Sharing a SQL server with other databases

**IMPACT**
- other database get put in deadlock and then our databases performance gets impacted (processes terminate)
- https://trello.com/c/R2kZC4je/132-infra-processes-having-issues-accessing-queue-data

**ROOT-CAUSE**
Sharing a SQL server with other databases until Azure Migration is completed. Some processes use lots of CPU which can effect the BluePrismPro database (see image).

**WORK-AROUND**
1. monitor email email inboxes
2. re-run processes
3. call database administrator to action database deadlocks if required (Amir Ashamalla 0423 022 680)

**RESOLUTION**
1. short term = https://trello.com/c/UKt0WxFj/134-infra-shard-existing-blueprismpro-database-into-blueprismpro2
2. long term = https://trello.com/c/J2PWbdr2/111-infra-migrate-from-on-prem-database-and-application-servers-to-azure-cloud-infrastructure-and-setup-database-with-a-dedicated-sq

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","INFRA","Sharing a SQL server with other databases"
"115","Credential - Unikey credentials in PROD are named ""sydney student RXX"" instead of the unikey","**ISSUE**
currently unikeys are stored as ""sydney student RXX"" in PROD credential

**IMPACT**
the naming of the unikey credentials are not generic 

**ROOT-CAUSE**
naming convention change

**WORK-AROUND**
keep as it is

**RESOLUTION**
standardise the unikey credential names

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","Credential","Unikey credentials in PROD are named ""sydney student RXX"" instead of the unikey"
"116","INFRA - processes terminating because credentials are unavailable / being used by other processes","**ISSUE**
processes terminating because credentials are unavailable / being used by other processes

**IMPACT**
processes kick each other out and then terminate

**ROOT-CAUSE**
credentials for Sydney Student Web are shared

**WORK-AROUND**
Monitor when processes run and make sure Processes with same UniKeys dont run

**RESOLUTION**
https://trello.com/c/XhPl4nt1/1825-infra-raise-sydney-student-web-access-request-for-new-unikeys-so-that-processes-dont-share-login-details

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","INFRA","processes terminating because credentials are unavailable / being used by other processes"
"117","IE - Internet Explorer freezes and crashes when launching modern websites (Involvio etc..) that uses javascript after OS patching on 10/08/2019","**ISSUE**
IE freezes and crashes when launching modern websites (Involvio etc..) that uses javascript

**IMPACT**
process cannot run

**ROOT-CAUSE**
windows security update KB4507460 modifies IE security configuration and some modern web applications have not been developed to support the update 

**WORK-AROUND**
1. mark problematic VMs 
2. reschedule processes to working VM
3. (VM)

**RESOLUTION**
1. go to \\rpaspa00002.shared.sydney.edu.au\windows update\
2. install windows update https://support.microsoft.com/en-au/help/4512495/windows-10-update-kb4512495
3. restart VM

Long term: apply https://support.microsoft.com/en-au/help/4512495/windows-10-update-kb4512495 to all PROD

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","IE","Internet Explorer freezes and crashes when launching modern websites (Involvio etc..) that uses javascript after OS patching on 10/08/2019"
"118","Concur - report schedule does not account for the day-light saving time","**ISSUE**
ConcurSolution generates scheduled reports for multiple processes, but its schedule will not adjust for the day light saving time

**IMPACT**
process that rely on the schedule might fail due to the one hour delay/early

**ROOT-CAUSE**
Daylight savings time changes

**WORK-AROUND**
adjust process schedule to avoid the schedule change

**RESOLUTION**
confirm with concur on the adjustment

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","Concur","report schedule does not account for the day-light saving time"
"119","P37 - Invalid bookings wrongly identified as System Exceptions","**ISSUE**
Invalid bookings are currently incorrectly handled and marked as System Exceptions rather than Business Exceptions. 

**IMPACT**
Process will wrongly terminate after 4 consecutive exceptions of this type.

**ROOT-CAUSE**
Process does not account for the fact that the previous stage, 'Click on Create booking in this venue', completing does not necessarily mean the venue was booked successfully.

**WORK-AROUND**

- No termination: no action needed
- Termination due to 4 consecutive exceptions: Re-run process to continue processing queue


**RESOLUTION**
https://trello.com/c/7JgPZVTb/5047-p37-complex-bookings-correct-exception-caused-by-invalid-bookings-to-business-exception

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","P37","Invalid bookings wrongly identified as System Exceptions"
"120","P73 - process reported to be performing actions in the CET application incorrectly","**ISSUE**
Vic to complete

**IMPACT**
Vic to complete

**ROOT-CAUSE**
Vic to complete

**WORK-AROUND**
NA

**RESOLUTION**
https://trello.com/c/fm7gI6fx/3715-p73-update-process-to-interact-with-bot-via-cet-via-script-instead-of-navigating-application#

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","P73","process reported to be performing actions in the CET application incorrectly"
"121","SITS Portal - Departmental Permission application list table will show a system error pop up when there is no record","**ISSUE**
Departmental Permission application list table will show a system error pop up when there is no record


**IMPACT**
processes interacting with the page will become unstable
 - P15
 - P68


**ROOT-CAUSE**
SITS portal issue


**WORK-AROUND**
build process logic to handle it

**RESOLUTION**
RITM0139530


**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","SITS","SITS Departmental Permission application list table will show a system error pop up when there is no record"
"122","Excel - ERROR: Internal : Could not execute code stage because exception thrown by code stage: The RPC server is unavailable. (Exception from HRESULT: 0x800706BA)","**ISSUE**
ERROR: Internal : Could not execute code stage because exception thrown by code stage: The RPC server is unavailable. (Exception from HRESULT: 0x800706BA)

**IMPACT**
minimal, object fails to close all instances

**ROOT-CAUSE**
TBD

**WORK-AROUND**
manually close the instances

**RESOLUTION**
TBD

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","Excel","ERROR: Internal : Could not execute code stage because exception thrown by code stage: The RPC server is unavailable. (Exception from HRESULT: 0x800706BA)"
"123","P24 - Sydney Student Web getting logged out for 'security reasons' but termination causes are misreported","**ISSUE**
Process terminates due to a System Exception 'Edit/Duplicate Credit Item Page' not being found, but the actual cause is a log out. All subsequent retries fail.

**IMPACT**
Process will terminate after 4 consecutive exceptions of this type, but the actual cause will be misreported.

**ROOT-CAUSE**
Occasionally, Sydney Student Web will log out of its current session while trying to navigate to the Edit/Duplicate Credit Item Page. Recovery path in 'Restructure Credit Items' block in '7. Restructure Credit Items' does not attempt to log back into Sydney Student Web.

**WORK-AROUND**

- Pending cases: rerun process
- No pending cases: no rerun

**RESOLUTION**
https://trello.com/c/5TOWkBe6/5063-p24-credit-restructuring-update-process-to-identify-handle-for-getting-logged-out

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","P24","Sydney Student Web getting logged out for 'security reasons' but termination causes are misreported"
"124","BluePrism - Scheduler does not account for day light saving time in the hourly scheduling","**ISSUE**
Scheduler does not account for day light saving time in the hourly scheduling

**IMPACT**
the schedule is not reliable

**ROOT-CAUSE**
Blueprism

**WORK-AROUND**
schedule 1 hour earlier

**RESOLUTION**
raise ticket with BP

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","BluePrism","Scheduler does not account for day light saving time in the hourly scheduling"
"125","BluePrism - Memory leak will happen randomly if using the studio long enough after v6.5.1 upgrade","**ISSUE**
1. BluePrism will memory leak if using it long enough after v6.5.1 upgrade
2. auto-save feature is not working either

**IMPACT**
devs might lose their progress

**ROOT-CAUSE**
unknown

**WORK-AROUND**


**RESOLUTION**
raise ticket with BP

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","BluePrism","Memory leak will happen randomly if using the studio long enough after v6.5.1 upgrade"
"126","INFRA - VM update will reset the IE pop up setting","**ISSUE**
VM update will reset the IE pop up setting, preventing the download pop up to show

**IMPACT**
no process can download file from IE from pop up

**ROOT-CAUSE**
VM update

**WORK-AROUND**
manually enable ""allow pop up from IE"" on the affected VM

**RESOLUTION**
add another sub process to the VM maintenance

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Testing","INFRA","VM update will reset the IE pop up setting"
"127","PROCESS - P42 ENHANCEMENTS","**AS A**
Operational Engineer

**I WANT**

**SO THAT**
","PROJECT","Completed (old)","PROCESS","P42 ENHANCEMENTS"
"128","INFRA - SHARD EXISTING DATABASE","**AS A**
Operational Engineer

**I WANT**
Shard existing BluePrismPro Database into BluePrismPro2

**SO THAT**
The historical process Audit Events and Work Queue data doesnt need to be archived and to improve the performance of processes interacting with the Work Queue table (https://trello.com/c/R2kZC4je/132-infra-processes-having-issues-accessing-queue-data)

**PLAN**
1. Create BluePrismPro2 database with appropriate settings (Database Size, CPU Prioritisation Allocation)
2. Apply Blue Prism application database scheme to BluePrism2 database and setup encryption scheme using the same key as what is in BluePrismPro database (important for importing credentials)
3. Import release of Everything in BluePrismPro into BluePrismPro2 database to check for any anomalies
4. Setup and test credentials in new BluePrismPro2 database to match BluePrismPro (https://trello.com/c/rge52MTe/2112-infra-setup-credentials-in-new-blueprismpro2-database)
5. Review all processes that use Tags excessively and change them before running processes in new database (https://trello.com/c/ILJD7xr7/148-infra-update-all-processes-that-use-tags-excessively-so-that-they-dont-create-massive-bpatag-tables-in-the-blue-prism-database)
6. Stop all processes, re-point application servers to new database BluePrismPro2 to let all Bot VMs connect, after all Bot VMs have connected then re-point application servers back to old database BluePrismPro and let processes continue (10 mins). This is needed for setting up resources prior to hard swap.
7. Setup Roles, Usernames, Resource Groups, and Schedules.
8. Double check everything has been moved from BluePrismPro into BluePrismPro2 database again to make sure its updated, then stop all processes running in Prod, disconnect the Application Servers, re-point  the two application servers to BluePrismPro2, turn the application servers back on, start running processes again. 
9. Send email to all Dev's informing them that there passwords have changed
","PROJECT","Completed (old)","INFRA","SHARD EXISTING DATABASE"
